"","name","medianPrecision","SDPrecision","medianRecalls","SDRecalls","medianAUC","SDAUC","AIC","ANOVA_chisq","ANOVA_pval"
"1","MBaseline",0.734,0.013,0.635,0.012,0.66,0.009,37799.684,NA,"NA"
"2","M1_Support",0.735,0.011,0.637,0.01,0.662,0.008,37521.129,284.555,"0e+00"
"3","M2_Feedback",0.732,0.01,0.635,0.011,0.659,0.007,37659.007,146.677,"0e+00"
"4","M3_Readability",0.724,0.012,0.64,0.011,0.661,0.008,37581.977,231.707,"0e+00"
"5","MSum",0.728,0.012,0.646,0.011,0.669,0.008,37093.271,732.413,"0e+00"
