"","name","medianPrecision","SDPrecision","medianRecalls","SDRecalls","medianAUC","SDAUC","AIC","ANOVA_chisq","ANOVA_pval"
"1","MBaseline",0.997,0.001,0.848,0.006,0.645,0.071,21939.821,NA,"NA"
"2","M1_Support",0.994,0.002,0.853,0.005,0.731,0.044,21332.385,465.257,"0e+00"
"3","M2_Feedback",0.996,0.001,0.855,0.006,0.715,0.048,21582.999,318.5,"0e+00"
"4","M3_Readability",0.994,0.002,0.852,0.007,0.657,0.058,21481.253,396.02,"0e+00"
"5","MSum",0.991,0.001,0.857,0.005,0.744,0.022,20976.495,1002.306,"0e+00"
