"","name","medianPrecision","SDPrecision","medianRecalls","SDRecalls","medianAUC","SDAUC","AIC","ANOVA_chisq","ANOVA_pval"
"1","MBaseline",0.849,0.016,0.736,0.02,0.779,0.016,3697.053,NA,"NA"
"2","M1_Support",0.848,0.018,0.739,0.03,0.774,0.017,3659.004,36.91,"4.807993e-08"
"3","M2_Feedback",0.862,0.009,0.749,0.019,0.796,0.01,3557.583,157.367,"0e+00"
"4","M3_Readability",0.856,0.023,0.766,0.027,0.798,0.018,3442.802,269.408,"0e+00"
"5","MSum",0.867,0.016,0.779,0.025,0.813,0.016,3284.927,464.834,"0e+00"
